,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What are some of the action sequences in which Keanu faces off in the third chapter of the JOHN WICK franchise?,"['Review: The inevitable third chapter of the JOHN WICK franchise continues on a high with the same quality as the last. In fact, this may just pip that one to the post to be the best JOHN WICK yet. The pacing is spot on and the plotting is measured by a huge amount of action sequences, all of which fizz and crackle with skill and energy. The movie hits the ground running as Keanu faces off with a hulking character in a library and then Triads in a weapon shop, but what really amazes here is the']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_3.csv', 'row': 19, 'Review_Date': '22 September 2019', 'Review_Title': ' Sheer enjoyment\n', 'Review_Url': '/review/rw5135863/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 9, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638104)}]",True
1,What role does Rome play in the plot of the movie John Wick: Chapter 2?,"[': 17\nReview: Picking up where the first movie left off, John Wick still wants his car back. Also, he now discovers that there is a bounty on his head. Rejoining his former profession, he heads to Rome to complete an assassination assignment.']",Rome plays a significant role in the plot of the movie 'John Wick: Chapter 2' as John Wick heads to Rome to complete an assassination assignment as part of the storyline.,simple,"[{'source': 'john_wick_2.csv', 'row': 17, 'Review_Date': '18 March 2018', 'Review_Title': ' Even worse than the first movie\n', 'Review_Url': '/review/rw4095490/?ref_=tt_urv', 'Author': 'grantss', 'Rating': 2, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637271)}]",True
2,What role does Rome play in the plot of the movie John Wick: Chapter 2?,"[': 17\nReview: Picking up where the first movie left off, John Wick still wants his car back. Also, he now discovers that there is a bounty on his head. Rejoining his former profession, he heads to Rome to complete an assassination assignment.']",Rome plays a significant role in the plot of the movie 'John Wick: Chapter 2' as John Wick heads to Rome to complete an assassination assignment as part of the storyline.,simple,"[{'source': 'john_wick_2.csv', 'row': 17, 'Review_Date': '18 March 2018', 'Review_Title': ' Even worse than the first movie\n', 'Review_Url': '/review/rw4095490/?ref_=tt_urv', 'Author': 'grantss', 'Rating': 2, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637271)}]",True
3,What can viewers expect from the action scenes in the movie John Wick: Chapter 2?,"[""Review: In this 2nd installment of John Wick, the stylish visual and hard core action returns twice the level of the first film. So prepare for another suspenseful and cliffhanging sequences flow from this action movie when you watch this. The story goes deeper and the action scenes were incredibly entertaining! The revenge theme was still part of the movie's plot but this time the focus is the personal backstab of Wick. Keanu Reeves delivers again a notable performance as a titular character.""]","Viewers can expect incredibly entertaining action scenes with a stylish visual and hardcore intensity in the movie John Wick: Chapter 2. The sequences are suspenseful and cliffhanging, providing a thrilling experience for the audience.",simple,"[{'source': 'john_wick_2.csv', 'row': 8, 'Review_Date': '23 February 2020', 'Review_Title': ' Great\n', 'Review_Url': '/review/rw5503709/?ref_=tt_urv', 'Author': 'MrHeraclius', 'Rating': 0, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637256)}]",True
4,What makes John Wick (2014) stand out as a revenge flick starring Keanu Reeves?,"[""Review: John Wick (2014) is the best revenge flick from Keanu Reeves of 2014 from The Matrix (1999) to John Wick (2014) another action fast paced, Entertaining slick action packed film, which kind I have never seen before. It is a very fun, straightforward action movie with an 80's sensibility. It's nice to see Keanu doing these types of roles again. It is one of my personal favorite Keanu Reeves movies. Keanu Reeves is a bad ass what a great action packed blood packed film. Movies should""]","John Wick (2014) stands out as a revenge flick starring Keanu Reeves due to its fast-paced, entertaining, and slick action-packed nature. It is a unique film that combines elements of classic 80's action movies with Keanu Reeves' charismatic performance, making it a personal favorite for many fans.",simple,"[{'source': 'john_wick_1.csv', 'row': 7, 'Review_Date': '19 November 2015', 'Review_Title': ' The best action revenge film of all time from 2014 so far!\n', 'Review_Url': '/review/rw3357633/?ref_=tt_urv', 'Author': 'ivo-cobra8', 'Rating': 10, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635750)}]",True
5,"What is the significance of the title ""Parabellum"" in the context of the world filled with assassins in the John Wick series?","['one where the world was filled with assassins, popping up from everywhere all the time. I remember ending that film feeling like it had gone too far but that the third would probably do more of that. True enough, Parabellum (""prepare for war"") sees the whole world filled with assassins, and a huge administrative system around them - but yet the whole lot of them can\'t seem to cause John Wick too much trouble. As with the first film, this expands the world more than it can bear, and although it']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_3.csv', 'row': 0, 'Review_Date': '22 September 2019', 'Review_Title': ' Enjoyably choreographed, but the lack of consequence combined with the global scale robs it of urgency and means it outstays its welcome a bit\n', 'Review_Url': '/review/rw5136960/?ref_=tt_urv', 'Author': 'bob the moo', 'Rating': 0, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638067)}]",True
6,What makes 'John Wick: Chapter 3 - Parabellum' stand out as one of the best looking action films?,"["": 8\nReview: About 6 months ago I saw a picture of the set of 'John Wick: Chapter 3 - Parabellum' featuring Keanu Reeves on horseback shooting at motorcyclists. It was such a great looking shot that I have been waiting eagerly to see how it looked in the actual film ever since. It did not let me down. The style this film possesses is insane. It is one of the best looking action films I have ever seen.""]",The style of 'John Wick: Chapter 3 - Parabellum' is what makes it stand out as one of the best looking action films. The film possesses an insane style that captivates viewers and sets it apart from other action films.,simple,"[{'source': 'john_wick_3.csv', 'row': 8, 'Review_Date': '15 May 2019', 'Review_Title': ' A brutal non-stop ride\n', 'Review_Url': '/review/rw4854687/?ref_=tt_urv', 'Author': 'jtindahouse', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 29, 16, 43, 42, 638086)}]",True
7,"How does the protagonist in ""John Wick: Chapter 2"" endure such extreme punishment throughout the film?","['Review: No doubt about it, ""John Wick: Chapter 2"" is a slick action thriller, but man, oh man, how can any one person absorb that kind of punishment? John (Keanu Reeves) gets shot, stabbed and hit by cars multiple times and postures a limp now and then to indicate he might have gotten just a little bit hurt. Besides that, he almost never makes a wrong move when hunted by dozens of assassins all at the same time. Okay, I get it, Reeves is the star of the picture and has to come out on top, but']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_2.csv', 'row': 0, 'Review_Date': '14 September 2018', 'Review_Title': ' ""No one gets out and comes back without repercussions.""\n', 'Review_Url': '/review/rw4338449/?ref_=tt_urv', 'Author': 'classicsoncall', 'Rating': 7, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 28, 16, 43, 42, 637239)}]",True
8,How does the movie John Wick compare to the movie Taken in terms of plot and premise?,"[""Review: The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie - when action movies get convoluted, they get bad i.e. A Good Day to Die Hard. John Wick gives the viewers what they want: Awesome action, stylish stunts,""]",The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie.,simple,"[{'source': 'john_wick_1.csv', 'row': 0, 'Review_Date': '6 May 2015', 'Review_Title': ' Kinetic, concise, and stylish; John Wick kicks ass.\n', 'Review_Url': '/review/rw3233896/?ref_=tt_urv', 'Author': 'lnvicta', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 27, 16, 43, 42, 635718)}]",True
9,How does John Wick: Chapter 4 continue the storyline from Chapter 3: Parabellum?,"[""Review: John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that""]","John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off, continuing the tradition of starting with intense action from the very beginning. The film improves on the previous installment and further establishes Keanu Reeves as the greatest martial arts action star of all time.",simple,"[{'source': 'john_wick_4.csv', 'row': 19, 'Review_Date': '17 March 2023', 'Review_Title': ' The Best John Wick Sequel\n', 'Review_Url': '/review/rw8935117/?ref_=tt_urv', 'Author': 'tkdlifemagazine', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 30, 16, 43, 42, 638830)}]",True
