,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What factors determine the peak age for creative impact in individuals?,"['ods when productivity is highest, the peak age for creative impact\nshould not vary as a function of either the success of the particular\ncontribution or the Xnal fame of the creator. …\nThus, even though an impressive lifetime output of works, and\nsubsequent distinction, is tied to precocity, longevity, and produc-\ntion rate, the expected age optimum for quantity and quality of\ncontribution is dependent solely on the particular form of creative\nexpression.\nWow, again.\nAnyone who demonstrates… an age decrement in achievement is\nlikely to provoke controversy. Aaer all, aging is a phenomenon easy']",The factors determining the peak age for creative impact in individuals are not explicitly mentioned in the context provided.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 162, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,How can entrepreneurs acquire initial customers for their product?,"['This obviously raises the issue of how you’re supposed to do\nthat before you’ve raised money.\nTry to raise angel money, or bootstrap oW of initial customers\nor consulting contracts, or work on it aaer hours while keeping\nyour current job, or quit your job and live oW of credit cards for\na while.\nLots of entrepreneurs have done these things and succeeded —\nand of course, many have failed.\nNobody said this would be easy.\nThe most valuable thing you can do is actually build your prod-\nuct. When in doubt, focus on that.\nThe next most valuable thing you can do is get customers — or,']","Try to raise angel money, bootstrap off initial customers or consulting contracts, work on it after hours while keeping your current job, or quit your job and live off credit cards for a while. Many entrepreneurs have successfully used these methods to acquire initial customers, although some have also failed. Building the product is the most valuable thing to do, followed by acquiring customers.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,How can undergrads gain real-world working experience before graduating?,"['undergrads to do some of the work, and being a staW member at\na campus computer lab or research lab.\nAnd then aggressively pursue internship and co-op programs — to\nget real-world working experience at companies in your Xeld,\nbefore you even graduate. Target the best companies in your\nXeld, and go aaer the opportunities early and oaen.\nIf you do this right, by the time you graduate even with just an\nundergrad degree, you can have a year and a half of real work-\ning experience at high-quality companies plus another four\nyears of practical experience from an on-campus job under\nyour belt.\n110']","Undergrads can gain real-world working experience before graduating by doing some of the work themselves, being a staff member at a campus computer lab or research lab, and aggressively pursuing internship and co-op programs at companies in their field. By targeting the best companies early and often, undergrads can accumulate a year and a half of real work experience at high-quality companies plus another four years of practical experience from an on-campus job by the time they graduate.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 114, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How can blogging about their startup help entrepreneurs attract funding from venture capitalists?,"['looking for funding to blog — about their startup, about inter-\nesting things going on, about their point of view. This puts an\nentrepreneur in the Yow of conversation, which can lead to\ninteraction with VCs through the normal medium of blogging.\nAnd, when a VC does decide to take a look at you and your com-\npany, she can read your blog to get a sense of who you are and\n22\nThe Pmarca Blog Archives']","Blogging about their startup can help entrepreneurs attract funding from venture capitalists by putting them in the flow of conversation and allowing for interaction with VCs through the medium of blogging. Additionally, VCs can read the blog to get a sense of the entrepreneur and their company, potentially leading to further interest and investment.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 26, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,What are the consequences of not raising enough money for a company?,"['Here’s why you shouldn’t do that:\nWhat are the consequences of not raising enough money?\nNot raising enough money risks the survival of your company,\nfor the following reasons:\nFirst, you may have — and probably will have — unanticipated\nsetbacks within your business.\nMaybe a new product release slips, or you have unexpected\nquality issues, or one of your major customers goes bankrupt, or\na challenging new competitor emerges, or you get sued by a big\ncompany for patent infringement, or you lose a key engineer.\nSecond, the funding window may not be open when you need\nmore money.']","Not raising enough money risks the survival of your company for several reasons. First, you may encounter unanticipated setbacks within your business, such as delays in product releases, unexpected quality issues, bankruptcy of major customers, emergence of new competitors, legal issues like patent infringement lawsuits, or loss of key personnel. Second, the funding window may not be open when you require additional capital.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 47, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,What should be valued when evaluating candidates for a startup?,"[""How to hire the best people you've\never worked with\nThere are many aspects to hiring great people, and various peo-\nple smarter than me have written extensively on the topic.\nSo I’m not going to try to be comprehensive.\nBut I am going to relay some lessons learned through hard\nexperience on how to hire the best people you’ve ever worked\nwith — particularly for a startup.\nI’m going to cover two key areas in this post:\n•\nCriteria: what to value when evaluating candidates.\n•\nAnd process: how to actually run the hiring process, and if\nnecessary the aaermath of making a mistake.\nCriteria 7rst""]",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 73, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,What factors contribute to the complexity of decision-making within big companies?,"['extreme case, but even a non-extreme version of this process —\nand all big companies have one; they have to — is mind-bend-\ningly complex to try to understand, even from the inside, let\nalone the outside.\n“… and the breath of the whale is frequently attended with such an\ninsupportable smell, as to bring on a disorder of the brain.”\n— Ulloa’s South America\nYou can count on there being a whole host of impinging forces\nthat will aWect the dynamic of decision-making on any issue at\na big company.\nThe consensus building process, trade-oWs, quids pro quo, poli-']","Factors contributing to the complexity of decision-making within big companies include extreme cases, the presence of mind-bendingly complex processes, impinging forces, consensus building processes, trade-offs, quid pro quo arrangements, and political considerations.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 39, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,What steps can be taken to orchestrate a turnaround in the product cycle?,"['problem — your original product cycle has peaked and you\nneed to Xnd a new product cycle. That’s your big challenge,\nway beyond retention. But I’ll talk about that in a future post.\nRetention follows from the steps you are taking to orchestrate\nthe turnaround and/or get to the next big product cycle.\nHaving adroitly sidestepped most of what you need to do, let\nme now address some things you can\ncan do to help the retention\nPart 2: Retaining great people\n87']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 91, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,"What types of undergraduate degrees are considered useful in the real world, particularly those with a technical element?","['workforce in a high-impact way when you graduate, and you’ll\nhave to go get a useful graduate degree.\nAnd even if you are already planning to get a useful graduate\ndegree, you are much better oW combining it with a substantive\nundergraduate degree — thereby becoming a “double threat”.\nMore on this in a bit.\nWhich undergraduate degrees are useful in\nthe real world?\nTypically, those that have a technical element of some form —\nthat teach you how to do something substantive.\nEngineering degrees obviously qualify. The current myth that\nengineering and computer science degrees are less useful']","Typically, undergraduate degrees that have a technical element and teach practical skills are considered useful in the real world. Engineering degrees are a prime example of such degrees.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,How does the culture of a startup company influence how its team members view and approach challenge and adversity?,"['(In case you were wondering, by the way, the hours do com-\npound the stress.)\nSeventh, it’s really easy for the culture of a startup to go sideways.\nThis combines the Xrst and second items above.\nThis is the emotional rollercoaster wreaking havoc on not just\nyou but your whole company.\nIt takes time for the culture of any company to become “set” —\nfor the team of people who have come together for the Xrst time\nto decide collectively what they’re all about, what they value —\nand how they look at challenge and adversity.\nIn the best case, you get an amazing dynamic of people really']","The culture of a startup company influences how its team members view and approach challenge and adversity by shaping their collective values, beliefs, and attitudes towards difficulties. It takes time for the team to establish a shared identity and perspective on challenges, which can greatly impact their response to adversity.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 12, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
